"Id","SuperNodeNameForMe","keys_size"
630671412734368319547034567607993785466613066303,"461",4
271122053285059185537608648333591076569399150495,"189",115
814109037946882010429832438129933911291784400148,"581",100
1231392244971392604967816822541701175570399750017,"856",35
206094157597090275219165929569610166625446434421,"142",2
519179303384745061117793015142057330585712080409,"372",30
734731103325265094192386398196945304538514951390,"529",10
503295153234532780658180547175015054855810947514,"357",52
1107009736793508395948882567926725000810621858392,"770",204
1324344211491319642200059759233362594096636660686,"915",52
853756048758715497368812963862846529887727130476,"619",55
706837665054749151752089685172360646699159865110,"512",82
1170543501041615101717514787511060011789129808968,"810",13
1308828720725664099610034466131645483753847091489,"906",54
1429724063887489589068975054861202999585280553871,"983",17
453036602171782095897224765938291294996045013963,"319",16
1193211563944313837869811238870255059102043790824,"827",123
620061150360481805656300692114987964964051811390,"449",43
74786179753600394321845223964607733033918200301,"60",1
676334610329229479241140356528152854211595053031,"496",45
394197184700363139837174413553501630248724955714,"284",14
1084627565297759716113618386252703179042991171160,"759",10
1068395416335409929157107929843613136109009600604,"746",45
390122768431510352401683010984303207045899364210,"279",26
659051441842904093160741533921409110730830803034,"482",2
512385580098551230124163761367623075914414596679,"364",36
1119262201999293203130932150268702900856869691710,"776",27
355399277902875426870367985188713266584704877676,"248",87
516181097817651425908123077419968924233242912524,"370",36
851117807153776568455620753616146288998104213061,"617",20
463148172062078091170755414637144524827586326531,"325",76
621051404716597323845868957780708089848474929902,"452",1
850428841935872033830990749778188261495235580856,"616",20
672302568194409213571360852173742281790694313585,"491",101
1264844930200364532385364606826493452958814825851,"884",102
975362474123117757852066837877731066082242679257,"691",7
1170108938773166767277699049797236875508087807897,"809",67
1255475153055080783792934998713979673865873864773,"876",83
820188803082673505054562502321333884254744980243,"585",14
778637847547184294546109525889864646678217855660,"556",25
63300892402877686416545882240215152366821039930,"47",216
464822678935147054611967570332986034897692567612,"328",22
488094616624184456726373765277150741188289259738,"347",36
722689094666875433073283448454832823979146713119,"521",194
574782910338122668241756725110820133610836814844,"407",47
206719370157575715531740754755385672671707253013,"143",26
231622740941894894557300199409084822602349482443,"161",29
1061636672670858317846556484569480625884398912015,"741",52
854264908970198718119626524037424314160543408873,"621",13
717015521171869970294781613942840412792838695410,"520",2
106771299966305008169414916860751672143655921228,"73",35
220675443403947307480528887117332437335159945140,"153",33
408421414418557551654916096381396201449266719311,"289",87
428722102117819999360399009018630170173225869541,"302",116
1260388099453995903616433947333995101594916252488,"879",42
1457389695968853695059019037689651026888106513525,"999",49
1360652724313819687636653902153465722170967343323,"942",5
926023722037628918476009246434431442457028573406,"659",248
629834672323852410279221564632516581335807634394,"459",9
1164302244449813707347658642136199508375866296808,"806",61
